City,State,Metric,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
Corpus Christi,Texas,Coal or coke,,,,
Dallas,Texas,Coal or coke,0,294,0,0.1
Denver,Colorado,Coal or coke,0,279,0,0.1
Detroit,Michigan,Coal or coke,0,244,0,0.1
El Paso,Texas,Coal or coke,,,,
Fresno,California,Coal or coke,0,294,0,0.1
Greensboro,North Carolina,Coal or coke,0,289,0,0.2
Henderson,Nevada,Coal or coke,,,,
Houston,Texas,Coal or coke,85,141,0,0.1
Indianapolis,Indiana,Coal or coke,0,267,0,0.1
Irvine,California,Coal or coke,,,,
Jacksonville,Florida,Coal or coke,55,94,0,0.1
Jersey City,New Jersey,Coal or coke,0,281,0,0.2
Las Vegas,Nevada,Coal or coke,,,,
Lincoln,Nebraska,Coal or coke,0,228,0,0.1
Long Beach,California,Coal or coke,0,294,0,0.1
Los Angeles,California,Coal or coke,0,294,0,0.1
Memphis,Tennessee,Coal or coke,,,,
Mesa,Arizona,Coal or coke,0,305,0,0.1
Miami,Florida,Coal or coke,,,,
Milwaukee,Wisconsin,Coal or coke,0,218,0,0.1
Minneapolis,Minnesota,Coal or coke,125,147,0.1,0.1
New Orleans,Louisiana,Coal or coke,,,,
New York,New York,Coal or coke,3154,986,0.1,0.1
Newark,New Jersey,Coal or coke,,,,
Oakland,California,Coal or coke,0,294,0,0.1
Omaha,Nebraska,Coal or coke,0,228,0,0.1
Orlando,Florida,Coal or coke,0,310,0,0.2
Philadelphia,Pennsylvania,Coal or coke,418,266,0.1,0.1
Phoenix,Arizona,Coal or coke,0,305,0,0.1
Pittsburgh,Pennsylvania,Coal or coke,46,76,0,0.1
Plano,Texas,Coal or coke,,,,
Portland,Oregon,Coal or coke,0,277,0,0.1
Riverside,California,Coal or coke,,,,
Sacramento,California,Coal or coke,0,294,0,0.1
San Antonio,Texas,Coal or coke,0,294,0,0.1
San Diego,California,Coal or coke,0,294,0,0.1
San Francisco,California,Coal or coke,59,100,0,0.1
San Jose,California,Coal or coke,0,294,0,0.1
Santa Ana,California,Coal or coke,0,294,0,0.3
Seattle,Washington,Coal or coke,162,189,0.1,0.1
St. Paul,Minnesota,Coal or coke,0,211,0,0.1
Stockton,California,Coal or coke,0,294,0,0.2
Tampa,Florida,Coal or coke,0,310,0,0.2
Tucson,Arizona,Coal or coke,,,,
Tulsa,Oklahoma,Coal or coke,70,114,0,0.1
Virginia Beach,Virginia,Coal or coke,0,287,0,0.1
Washington,District of Columbia,Coal or coke,64,108,0,0.1
Wichita,Kansas,Coal or coke,0,248,0,0.1
Albuquerque,New Mexico,Wood,1217,542,0.5,0.2
Anaheim,California,Wood,,,,
Anchorage,Alaska,Wood,661,476,0.6,0.5
Arlington,Texas,Wood,,,,
Atlanta,Georgia,Wood,213,157,0.1,0.1
Aurora,Colorado,Wood,227,232,0.2,0.2
Austin,Texas,Wood,,,,
Bakersfield,California,Wood,390,379,0.4,0.3
Baltimore,Maryland,Wood,262,238,0.1,0.1
Boston,Massachusetts,Wood,148,145,0.1,0.1
Chicago,Illinois,Wood,253,157,0,0.1
Cincinnati,Ohio,Wood,126,147,0.1,0.1
Cleveland,Ohio,Wood,51,86,0,0.1
Colorado Springs,Colorado,Wood,716,504,0.4,0.3
Columbus,Ohio,Wood,384,217,0.1,0.1
Corpus Christi,Texas,Wood,,,,
Dallas,Texas,Wood,160,156,0,0.1
Denver,Colorado,Wood,314,380,0.1,0.1
Detroit,Michigan,Wood,365,371,0.1,0.1
El Paso,Texas,Wood,,,,
Fresno,California,Wood,656,342,0.4,0.2
Greensboro,North Carolina,Wood,251,210,0.2,0.2
Henderson,Nevada,Wood,,,,
Houston,Texas,Wood,128,154,0,0.1
Indianapolis,Indiana,Wood,442,302,0.1,0.1
Irvine,California,Wood,,,,
Jacksonville,Florida,Wood,475,317,0.2,0.1
Jersey City,New Jersey,Wood,0,281,0,0.2
Las Vegas,Nevada,Wood,,,,
Lincoln,Nebraska,Wood,218,179,0.2,0.2
Long Beach,California,Wood,208,158,0.1,0.1
Los Angeles,California,Wood,2309,788,0.2,0.1
Memphis,Tennessee,Wood,,,,
Mesa,Arizona,Wood,335,252,0.2,0.2
Miami,Florida,Wood,,,,
Milwaukee,Wisconsin,Wood,444,268,0.2,0.1
Minneapolis,Minnesota,Wood,699,576,0.4,0.3
New Orleans,Louisiana,Wood,,,,
New York,New York,Wood,2365,822,0.1,0.1
Newark,New Jersey,Wood,,,,
Oakland,California,Wood,502,325,0.3,0.2
Omaha,Nebraska,Wood,349,369,0.2,0.2
Orlando,Florida,Wood,63,106,0.1,0.1
Philadelphia,Pennsylvania,Wood,377,238,0.1,0.1
Phoenix,Arizona,Wood,734,392,0.1,0.1
Pittsburgh,Pennsylvania,Wood,246,213,0.2,0.2
Plano,Texas,Wood,,,,
Portland,Oregon,Wood,2737,844,1.1,0.3
Riverside,California,Wood,,,,
Sacramento,California,Wood,835,580,0.5,0.3
San Antonio,Texas,Wood,475,436,0.1,0.1
San Diego,California,Wood,1633,568,0.3,0.1
San Francisco,California,Wood,817,547,0.2,0.2
San Jose,California,Wood,883,452,0.3,0.2
Santa Ana,California,Wood,503,320,0.7,0.4
Seattle,Washington,Wood,1083,499,0.4,0.2
St. Paul,Minnesota,Wood,329,401,0.3,0.4
Stockton,California,Wood,415,272,0.5,0.3
Tampa,Florida,Wood,0,310,0,0.2
Tucson,Arizona,Wood,,,,
Tulsa,Oklahoma,Wood,249,179,0.2,0.1
Virginia Beach,Virginia,Wood,291,215,0.2,0.1
Washington,District of Columbia,Wood,0,292,0,0.1
Wichita,Kansas,Wood,389,335,0.3,0.2
Albuquerque,New Mexico,Solar energy,47,79,0,0.1
Anaheim,California,Solar energy,,,,
Anchorage,Alaska,Solar energy,0,246,0,0.1
Arlington,Texas,Solar energy,,,,
Atlanta,Georgia,Solar energy,50,83,0,0.1
Aurora,Colorado,Solar energy,0,279,0,0.2
Austin,Texas,Solar energy,,,,
Bakersfield,California,Solar energy,38,62,0,0.1
Baltimore,Maryland,Solar energy,63,103,0,0.1
Boston,Massachusetts,Solar energy,52,86,0,0.1
Chicago,Illinois,Solar energy,57,94,0,0.1
Cincinnati,Ohio,Solar energy,73,119,0.1,0.1
Cleveland,Ohio,Solar energy,0,269,0,0.1
Colorado Springs,Colorado,Solar energy,209,200,0.1,0.1
Columbus,Ohio,Solar energy,0,269,0,0.1
Corpus Christi,Texas,Solar energy,,,,
Dallas,Texas,Solar energy,44,72,0,0.1
Denver,Colorado,Solar energy,44,71,0,0.1
Detroit,Michigan,Solar energy,0,244,0,0.1
El Paso,Texas,Solar energy,,,,
Fresno,California,Solar energy,0,294,0,0.1
Greensboro,North Carolina,Solar energy,0,289,0,0.2
Henderson,Nevada,Solar energy,,,,
Houston,Texas,Solar energy,0,294,0,0.1
Indianapolis,Indiana,Solar energy,0,267,0,0.1
Irvine,California,Solar energy,,,,
Jacksonville,Florida,Solar energy,0,310,0,0.1
Jersey City,New Jersey,Solar energy,0,281,0,0.2
Las Vegas,Nevada,Solar energy,,,,
Lincoln,Nebraska,Solar energy,0,228,0,0.1
Long Beach,California,Solar energy,104,122,0.1,0.1
Los Angeles,California,Solar energy,719,328,0.1,0.1
Memphis,Tennessee,Solar energy,,,,
Mesa,Arizona,Solar energy,57,97,0,0.1
Miami,Florida,Solar energy,,,,
Milwaukee,Wisconsin,Solar energy,0,218,0,0.1
Minneapolis,Minnesota,Solar energy,0,211,0,0.1
New Orleans,Louisiana,Solar energy,,,,
New York,New York,Solar energy,882,391,0,0.1
Newark,New Jersey,Solar energy,,,,
Oakland,California,Solar energy,218,214,0.1,0.1
Omaha,Nebraska,Solar energy,61,102,0,0.1
Orlando,Florida,Solar energy,0,310,0,0.2
Philadelphia,Pennsylvania,Solar energy,0,246,0,0.1
Phoenix,Arizona,Solar energy,135,158,0,0.1
Pittsburgh,Pennsylvania,Solar energy,0,246,0,0.1
Plano,Texas,Solar energy,,,,
Portland,Oregon,Solar energy,0,277,0,0.1
Riverside,California,Solar energy,,,,
Sacramento,California,Solar energy,118,135,0.1,0.1
San Antonio,Texas,Solar energy,0,294,0,0.1
San Diego,California,Solar energy,672,341,0.1,0.1
San Francisco,California,Solar energy,760,410,0.2,0.1
San Jose,California,Solar energy,42,71,0,0.1
Santa Ana,California,Solar energy,96,113,0.1,0.2
Seattle,Washington,Solar energy,0,277,0,0.1
St. Paul,Minnesota,Solar energy,0,211,0,0.1
Stockton,California,Solar energy,0,294,0,0.2
Tampa,Florida,Solar energy,121,197,0.1,0.1
Tucson,Arizona,Solar energy,,,,
Tulsa,Oklahoma,Solar energy,46,78,0,0.1
Virginia Beach,Virginia,Solar energy,0,287,0,0.1
Washington,District of Columbia,Solar energy,0,292,0,0.1
Wichita,Kansas,Solar energy,0,248,0,0.1
Albuquerque,New Mexico,Other fuel,130,151,0.1,0.1
Anaheim,California,Other fuel,,,,
Anchorage,Alaska,Other fuel,418,235,0.4,0.2
Arlington,Texas,Other fuel,,,,
Atlanta,Georgia,Other fuel,0,300,0,0.1
Aurora,Colorado,Other fuel,517,446,0.4,0.4
Austin,Texas,Other fuel,,,,
Bakersfield,California,Other fuel,44,74,0,0.1
Baltimore,Maryland,Other fuel,727,503,0.3,0.2
Boston,Massachusetts,Other fuel,877,428,0.3,0.2
Chicago,Illinois,Other fuel,6381,1249,0.6,0.1
Cincinnati,Ohio,Other fuel,1251,427,1,0.3
Cleveland,Ohio,Other fuel,1246,509,0.8,0.3
Colorado Springs,Colorado,Other fuel,422,230,0.3,0.1
Columbus,Ohio,Other fuel,846,542,0.3,0.2
Corpus Christi,Texas,Other fuel,,,,
Dallas,Texas,Other fuel,143,139,0,0.1
Denver,Colorado,Other fuel,2726,853,1,0.3
Detroit,Michigan,Other fuel,1168,433,0.5,0.2
El Paso,Texas,Other fuel,,,,
Fresno,California,Other fuel,0,294,0,0.1
Greensboro,North Carolina,Other fuel,337,351,0.3,0.3
Henderson,Nevada,Other fuel,,,,
Houston,Texas,Other fuel,863,510,0.1,0.1
Indianapolis,Indiana,Other fuel,850,624,0.3,0.2
Irvine,California,Other fuel,,,,
Jacksonville,Florida,Other fuel,50,84,0,0.1
Jersey City,New Jersey,Other fuel,284,217,0.3,0.2
Las Vegas,Nevada,Other fuel,,,,
Lincoln,Nebraska,Other fuel,202,214,0.2,0.2
Long Beach,California,Other fuel,0,294,0,0.1
Los Angeles,California,Other fuel,1643,641,0.1,0.1
Memphis,Tennessee,Other fuel,,,,
Mesa,Arizona,Other fuel,0,305,0,0.1
Miami,Florida,Other fuel,,,,
Milwaukee,Wisconsin,Other fuel,2014,814,0.9,0.4
Minneapolis,Minnesota,Other fuel,2297,647,1.4,0.4
New Orleans,Louisiana,Other fuel,,,,
New York,New York,Other fuel,34456,2719,1.1,0.1
Newark,New Jersey,Other fuel,,,,
Oakland,California,Other fuel,350,287,0.2,0.2
Omaha,Nebraska,Other fuel,527,315,0.3,0.2
Orlando,Florida,Other fuel,0,310,0,0.2
Philadelphia,Pennsylvania,Other fuel,1014,487,0.2,0.1
Phoenix,Arizona,Other fuel,45,72,0,0.1
Pittsburgh,Pennsylvania,Other fuel,910,515,0.7,0.4
Plano,Texas,Other fuel,,,,
Portland,Oregon,Other fuel,1010,498,0.4,0.2
Riverside,California,Other fuel,,,,
Sacramento,California,Other fuel,342,263,0.2,0.1
San Antonio,Texas,Other fuel,114,140,0,0.1
San Diego,California,Other fuel,210,173,0,0.1
San Francisco,California,Other fuel,3314,1093,1,0.3
San Jose,California,Other fuel,103,123,0,0.1
Santa Ana,California,Other fuel,0,294,0,0.3
Seattle,Washington,Other fuel,1891,645,0.7,0.2
St. Paul,Minnesota,Other fuel,1508,457,1.4,0.4
Stockton,California,Other fuel,117,143,0.1,0.2
Tampa,Florida,Other fuel,44,72,0,0.1
Tucson,Arizona,Other fuel,,,,
Tulsa,Oklahoma,Other fuel,47,75,0,0.1
Virginia Beach,Virginia,Other fuel,233,193,0.1,0.1
Washington,District of Columbia,Other fuel,1391,641,0.6,0.3
Wichita,Kansas,Other fuel,68,113,0,0.1
Albuquerque,New Mexico,No fuel used,291,220,0.1,0.1
Anaheim,California,No fuel used,,,,
Anchorage,Alaska,No fuel used,296,227,0.3,0.2
Arlington,Texas,No fuel used,,,,
Atlanta,Georgia,No fuel used,552,390,0.3,0.2
Aurora,Colorado,No fuel used,266,215,0.2,0.2
Austin,Texas,No fuel used,,,,
Bakersfield,California,No fuel used,815,499,0.7,0.5
Baltimore,Maryland,No fuel used,1437,501,0.6,0.2
Boston,Massachusetts,No fuel used,2547,773,1,0.3
Chicago,Illinois,No fuel used,6502,1191,0.6,0.1
Cincinnati,Ohio,No fuel used,1165,389,0.9,0.3
Cleveland,Ohio,No fuel used,1975,634,1.2,0.4
Colorado Springs,Colorado,No fuel used,439,287,0.3,0.2
Columbus,Ohio,No fuel used,546,317,0.2,0.1
Corpus Christi,Texas,No fuel used,,,,
Dallas,Texas,No fuel used,1066,407,0.2,0.1
Denver,Colorado,No fuel used,1448,592,0.6,0.2
Detroit,Michigan,No fuel used,2635,742,1,0.3
El Paso,Texas,No fuel used,,,,
Fresno,California,No fuel used,688,424,0.4,0.3
Greensboro,North Carolina,No fuel used,268,253,0.2,0.2
Henderson,Nevada,No fuel used,,,,
Houston,Texas,No fuel used,4563,1322,0.6,0.2
Indianapolis,Indiana,No fuel used,478,332,0.1,0.1
Irvine,California,No fuel used,,,,
Jacksonville,Florida,No fuel used,1788,449,0.6,0.1
Jersey City,New Jersey,No fuel used,691,370,0.7,0.4
Las Vegas,Nevada,No fuel used,,,,
Lincoln,Nebraska,No fuel used,342,335,0.3,0.3
Long Beach,California,No fuel used,12356,2098,7.8,1.3
Los Angeles,California,No fuel used,76002,4356,5.8,0.3
Memphis,Tennessee,No fuel used,,,,
Mesa,Arizona,No fuel used,764,461,0.5,0.3
Miami,Florida,No fuel used,,,,
Milwaukee,Wisconsin,No fuel used,546,302,0.2,0.1
Minneapolis,Minnesota,No fuel used,1419,710,0.9,0.4
New Orleans,Louisiana,No fuel used,,,,
New York,New York,No fuel used,28169,2618,0.9,0.1
Newark,New Jersey,No fuel used,,,,
Oakland,California,No fuel used,2837,838,1.9,0.5
Omaha,Nebraska,No fuel used,892,404,0.5,0.2
Orlando,Florida,No fuel used,561,279,0.6,0.3
Philadelphia,Pennsylvania,No fuel used,1775,614,0.3,0.1
Phoenix,Arizona,No fuel used,3844,847,0.8,0.2
Pittsburgh,Pennsylvania,No fuel used,689,524,0.5,0.4
Plano,Texas,No fuel used,,,,
Portland,Oregon,No fuel used,1326,603,0.5,0.2
Riverside,California,No fuel used,,,,
Sacramento,California,No fuel used,656,339,0.4,0.2
San Antonio,Texas,No fuel used,1782,553,0.4,0.1
San Diego,California,No fuel used,22607,2194,4.8,0.5
San Francisco,California,No fuel used,13494,2027,4,0.6
San Jose,California,No fuel used,3529,1013,1.2,0.3
Santa Ana,California,No fuel used,18478,1794,25.9,2.5
Seattle,Washington,No fuel used,1766,655,0.6,0.2
St. Paul,Minnesota,No fuel used,1181,522,1.1,0.5
Stockton,California,No fuel used,1148,465,1.3,0.5
Tampa,Florida,No fuel used,1081,474,0.8,0.4
Tucson,Arizona,No fuel used,,,,
Tulsa,Oklahoma,No fuel used,471,267,0.3,0.2
Virginia Beach,Virginia,No fuel used,487,286,0.3,0.2
Washington,District of Columbia,No fuel used,2260,623,0.9,0.2
Wichita,Kansas,No fuel used,345,231,0.2,0.2
Albuquerque,New Mexico,Occupied housing units,223505,2539,223505,
Anaheim,California,Occupied housing units,100404,3112,100404,
Anchorage,Alaska,Occupied housing units,104993,2002,104993,
Arlington,Texas,Occupied housing units,133491,3094,133491,
Atlanta,Georgia,Occupied housing units,172159,5268,172159,
Aurora,Colorado,Occupied housing units,119559,3177,119559,
Austin,Texas,Occupied housing units,323282,4713,323282,
Bakersfield,California,Occupied housing units,109420,3039,109420,
Baltimore,Maryland,Occupied housing units,237945,4515,237945,
Boston,Massachusetts,Occupied housing units,251721,4587,251721,
Chicago,Illinois,Occupied housing units,1014576,8579,1014576,
Cincinnati,Ohio,Occupied housing units,126145,4336,126145,
Cleveland,Ohio,Occupied housing units,164990,4095,164990,
Colorado Springs,Colorado,Occupied housing units,167361,3084,167361,
Columbus,Ohio,Occupied housing units,319428,4797,319428,
Corpus Christi,Texas,Occupied housing units,110954,2722,110954,
Dallas,Texas,Occupied housing units,447680,6310,447680,
Denver,Colorado,Occupied housing units,262093,3662,262093,
Detroit,Michigan,Occupied housing units,255201,5059,255201,
El Paso,Texas,Occupied housing units,210754,2612,210754,
Fresno,California,Occupied housing units,152890,3242,152890,
Greensboro,North Carolina,Occupied housing units,109255,3387,109255,
Henderson,Nevada,Occupied housing units,99095,3059,99095,
Houston,Texas,Occupied housing units,762309,6535,762309,
Indianapolis,Indiana,Occupied housing units,322700,5582,322700,
Irvine,California,Occupied housing units,76172,2460,76172,
Jacksonville,Florida,Occupied housing units,308173,6302,308173,
Jersey City,New Jersey,Occupied housing units,92649,2709,92649,
Las Vegas,Nevada,Occupied housing units,210950,4737,210950,
Lincoln,Nebraska,Occupied housing units,104286,1919,104286,
Long Beach,California,Occupied housing units,158386,4102,158386,
Los Angeles,California,Occupied housing units,1310259,9520,1310259,
Memphis,Tennessee,Occupied housing units,241400,4203,241400,
Mesa,Arizona,Occupied housing units,162691,4466,162691,
Miami,Florida,Occupied housing units,145822,4810,145822,
Milwaukee,Wisconsin,Occupied housing units,228945,3762,228945,
Minneapolis,Minnesota,Occupied housing units,165798,3861,165798,
New Orleans,Louisiana,Occupied housing units,142093,3457,142093,
New York,New York,Occupied housing units,3039467,11288,3039467,
Newark,New Jersey,Occupied housing units,91414,3236,91414,
Oakland,California,Occupied housing units,151808,3746,151808,
Omaha,Nebraska,Occupied housing units,163411,2894,163411,
Orlando,Florida,Occupied housing units,96753,3793,96753,
Philadelphia,Pennsylvania,Occupied housing units,575413,6623,575413,
Phoenix,Arizona,Occupied housing units,511432,7172,511432,
Pittsburgh,Pennsylvania,Occupied housing units,129828,3843,129828,
Plano,Texas,Occupied housing units,97524,2960,97524,
Portland,Oregon,Occupied housing units,244192,3559,244192,
Riverside,California,Occupied housing units,87752,3694,87752,
Sacramento,California,Occupied housing units,176168,5046,176168,
San Antonio,Texas,Occupied housing units,470223,4982,470223,
San Diego,California,Occupied housing units,469635,6664,469635,
San Francisco,California,Occupied housing units,336012,4358,336012,
San Jose,California,Occupied housing units,297637,4429,297637,
Santa Ana,California,Occupied housing units,71288,2600,71288,
Seattle,Washington,Occupied housing units,277520,5743,277520,
St. Paul,Minnesota,Occupied housing units,110088,2941,110088,
Stockton,California,Occupied housing units,91200,2669,91200,
Tampa,Florida,Occupied housing units,133070,3857,133070,
Tucson,Arizona,Occupied housing units,201761,4584,201761,
Tulsa,Oklahoma,Occupied housing units,163173,2981,163173,
Virginia Beach,Virginia,Occupied housing units,164300,2574,164300,
Washington,District of Columbia,Occupied housing units,252388,3730,252388,
Wichita,Kansas,Occupied housing units,149648,2521,149648,
Albuquerque,New Mexico,Lacking complete plumbing facilities,623,411,0.3,0.2
Anaheim,California,Lacking complete plumbing facilities,882,624,0.9,0.6
Anchorage,Alaska,Lacking complete plumbing facilities,906,555,0.9,0.5
Arlington,Texas,Lacking complete plumbing facilities,665,543,0.5,0.4
Atlanta,Georgia,Lacking complete plumbing facilities,1787,748,1,0.4
Aurora,Colorado,Lacking complete plumbing facilities,0,279,0,0.2
Austin,Texas,Lacking complete plumbing facilities,1340,648,0.4,0.2
Bakersfield,California,Lacking complete plumbing facilities,486,398,0.4,0.4
Baltimore,Maryland,Lacking complete plumbing facilities,2257,881,0.9,0.4
Boston,Massachusetts,Lacking complete plumbing facilities,1111,680,0.4,0.3
Chicago,Illinois,Lacking complete plumbing facilities,6918,1594,0.7,0.2
Cincinnati,Ohio,Lacking complete plumbing facilities,297,384,0.2,0.3
Cleveland,Ohio,Lacking complete plumbing facilities,1893,715,1.1,0.4
Colorado Springs,Colorado,Lacking complete plumbing facilities,691,540,0.4,0.3
Columbus,Ohio,Lacking complete plumbing facilities,1713,759,0.5,0.2
Corpus Christi,Texas,Lacking complete plumbing facilities,833,560,0.8,0.5
Dallas,Texas,Lacking complete plumbing facilities,2753,1002,0.6,0.2
Denver,Colorado,Lacking complete plumbing facilities,815,528,0.3,0.2
Detroit,Michigan,Lacking complete plumbing facilities,3708,1078,1.5,0.4
El Paso,Texas,Lacking complete plumbing facilities,2052,866,1,0.4
Fresno,California,Lacking complete plumbing facilities,631,412,0.4,0.3
Greensboro,North Carolina,Lacking complete plumbing facilities,883,603,0.8,0.5
Henderson,Nevada,Lacking complete plumbing facilities,1146,686,1.2,0.7
Houston,Texas,Lacking complete plumbing facilities,6833,1650,0.9,0.2
Indianapolis,Indiana,Lacking complete plumbing facilities,773,421,0.2,0.1
Irvine,California,Lacking complete plumbing facilities,382,348,0.5,0.5
Jacksonville,Florida,Lacking complete plumbing facilities,880,625,0.3,0.2
Jersey City,New Jersey,Lacking complete plumbing facilities,1182,626,1.3,0.7
Las Vegas,Nevada,Lacking complete plumbing facilities,1881,804,0.9,0.4
Lincoln,Nebraska,Lacking complete plumbing facilities,207,196,0.2,0.2
Long Beach,California,Lacking complete plumbing facilities,935,482,0.6,0.3
Los Angeles,California,Lacking complete plumbing facilities,8142,1524,0.6,0.1
Memphis,Tennessee,Lacking complete plumbing facilities,1679,624,0.7,0.3
Mesa,Arizona,Lacking complete plumbing facilities,519,557,0.3,0.3
Miami,Florida,Lacking complete plumbing facilities,628,516,0.4,0.4
Milwaukee,Wisconsin,Lacking complete plumbing facilities,1424,758,0.6,0.3
Minneapolis,Minnesota,Lacking complete plumbing facilities,2293,965,1.4,0.6
New Orleans,Louisiana,Lacking complete plumbing facilities,1457,687,1,0.5
New York,New York,Lacking complete plumbing facilities,22997,2635,0.8,0.1
Newark,New Jersey,Lacking complete plumbing facilities,1339,669,1.5,0.7
Oakland,California,Lacking complete plumbing facilities,1618,685,1.1,0.4
