Metric,City,Estimate,Estimate Margin of Error,Group,Percent,Percent Margin of Error
"('$2,000 or more',)","Anaheim city, California","23,553","±1,813",selected_monthly_owner_costs_(smoc),63.50%,±3.3
"('$2,000 or more',)","Anchorage municipality, Alaska","24,034","±2,195",selected_monthly_owner_costs_(smoc),47.40%,±3.6
"('$2,000 or more',)","Arlington city, Texas","8,642","±1,452",selected_monthly_owner_costs_(smoc),15.20%,±2.5
"('$2,000 or more',)","Atlanta city, Georgia","25,204","±2,197",selected_monthly_owner_costs_(smoc),45.00%,±3.1
"('$2,000 or more',)","Aurora city, Colorado","11,271","±1,394",selected_monthly_owner_costs_(smoc),18.60%,±2.2
"('$2,000 or more',)","Austin city, Texas","36,457","±2,380",selected_monthly_owner_costs_(smoc),34.50%,±2.1
"('$2,000 or more',)","Bakersfield city, California","17,351","±1,690",selected_monthly_owner_costs_(smoc),33.80%,±3.3
"('$2,000 or more',)","Baltimore city, Maryland","17,542","±1,745",selected_monthly_owner_costs_(smoc),22.80%,±2.2
"('$2,000 or more',)","Boston city, Massachusetts","36,576","±2,781",selected_monthly_owner_costs_(smoc),59.50%,±2.9
"('$2,000 or more',)","Chicago city, Illinois","155,347","±5,249",selected_monthly_owner_costs_(smoc),45.00%,±1.1
"('$2,000 or more',)","Cincinnati city, Ohio","7,448","±1,283",selected_monthly_owner_costs_(smoc),18.20%,±2.8
"('$2,000 or more',)","Cleveland city, Ohio","1,963",±591,selected_monthly_owner_costs_(smoc),3.80%,±1.1
"('$2,000 or more',)","Colorado Springs city, Colorado","16,259","±1,450",selected_monthly_owner_costs_(smoc),21.70%,±1.5
"('$2,000 or more',)","Columbus city, Ohio","12,090","±1,532",selected_monthly_owner_costs_(smoc),10.10%,±1.3
"('$2,000 or more',)","Corpus Christi city, Texas","6,144","±1,127",selected_monthly_owner_costs_(smoc),16.50%,±3.3
"('$2,000 or more',)","Dallas city, Texas","37,408","±2,541",selected_monthly_owner_costs_(smoc),29.10%,±1.9
"('$2,000 or more',)","Denver city, Colorado","29,432","±2,371",selected_monthly_owner_costs_(smoc),29.70%,±2.1
"('$2,000 or more',)","Detroit city, Michigan","5,017","±1,182",selected_monthly_owner_costs_(smoc),6.70%,±1.5
"('$2,000 or more',)","El Paso city, Texas","10,259","±1,516",selected_monthly_owner_costs_(smoc),13.20%,±1.8
"('$2,000 or more',)","Fresno city, California","16,879","±1,963",selected_monthly_owner_costs_(smoc),29.60%,±3.1
"('$2,000 or more',)","Greensboro city, North Carolina","5,994","±1,033",selected_monthly_owner_costs_(smoc),14.00%,±2.2
"('$2,000 or more',)","Henderson city, Nevada","21,558","±2,255",selected_monthly_owner_costs_(smoc),42.10%,±3.6
"('$2,000 or more',)","Houston city, Texas","54,064","±3,121",selected_monthly_owner_costs_(smoc),25.40%,±1.3
"('$2,000 or more',)","Indianapolis city (balance), Indiana","11,105","±1,380",selected_monthly_owner_costs_(smoc),7.90%,±1.0
"('$2,000 or more',)","Irvine city, California","25,856","±2,049",selected_monthly_owner_costs_(smoc),81.40%,±2.8
"('$2,000 or more',)","Jacksonville city, Florida","28,035","±2,615",selected_monthly_owner_costs_(smoc),20.40%,±1.8
"('$2,000 or more',)","Jersey City city, New Jersey",N,N,selected_monthly_owner_costs_(smoc),N,N
"('$2,000 or more',)","Las Vegas city, Nevada","30,102","±2,868",selected_monthly_owner_costs_(smoc),33.50%,±2.4
"('$2,000 or more',)","Lincoln city, Nebraska","5,028",±799,selected_monthly_owner_costs_(smoc),11.80%,±1.9
"('$2,000 or more',)","Long Beach city, California","30,928","±2,563",selected_monthly_owner_costs_(smoc),63.70%,±3.4
"('$2,000 or more',)","Los Angeles city, California","257,806","±6,895",selected_monthly_owner_costs_(smoc),67.60%,±1.1
"('$2,000 or more',)","Memphis city, Tennessee","10,061","±1,268",selected_monthly_owner_costs_(smoc),11.10%,±1.4
"('$2,000 or more',)","Mesa city, Arizona","15,224","±1,647",selected_monthly_owner_costs_(smoc),21.90%,±2.4
"('$2,000 or more',)","Miami city, Florida","13,717","±1,645",selected_monthly_owner_costs_(smoc),44.70%,±4.1
"('$2,000 or more',)","Milwaukee city, Wisconsin","7,124","±1,045",selected_monthly_owner_costs_(smoc),9.70%,±1.5
"('$2,000 or more',)","Minneapolis city, Minnesota","19,377","±1,774",selected_monthly_owner_costs_(smoc),30.50%,±2.5
"('$2,000 or more',)","New Orleans city, Louisiana","12,076","±1,555",selected_monthly_owner_costs_(smoc),28.00%,±3.3
"('$2,000 or more',)","New York city, New York","414,315","±8,343",selected_monthly_owner_costs_(smoc),66.10%,±0.8
"('$2,000 or more',)","Newark city, New Jersey",N,N,selected_monthly_owner_costs_(smoc),N,N
"('$2,000 or more',)","Oakland city, California","32,207","±2,211",selected_monthly_owner_costs_(smoc),66.60%,±3.0
"('$2,000 or more',)","Omaha city, Nebraska","9,311","±1,041",selected_monthly_owner_costs_(smoc),14.10%,±1.5
"('$2,000 or more',)","Orlando city, Florida","9,565","±1,583",selected_monthly_owner_costs_(smoc),32.80%,±4.5
"('$2,000 or more',)","Philadelphia city, Pennsylvania","24,767","±2,137",selected_monthly_owner_costs_(smoc),13.40%,±1.1
"('$2,000 or more',)","Phoenix city, Arizona","49,982","±2,824",selected_monthly_owner_costs_(smoc),22.50%,±1.3
"('$2,000 or more',)","Pittsburgh city, Pennsylvania","4,800",±903,selected_monthly_owner_costs_(smoc),12.20%,±2.2
"('$2,000 or more',)","Plano city, Texas","21,977","±2,084",selected_monthly_owner_costs_(smoc),45.10%,±3.5
"('$2,000 or more',)","Portland city, Oregon","34,812","±2,557",selected_monthly_owner_costs_(smoc),34.70%,±2.3
"('$2,000 or more',)","Riverside city, California","16,874","±1,800",selected_monthly_owner_costs_(smoc),41.70%,±4.0
"('$2,000 or more',)","Sacramento city, California","27,548","±2,587",selected_monthly_owner_costs_(smoc),43.60%,±3.4
"('$2,000 or more',)","San Antonio city, Texas","22,445","±2,240",selected_monthly_owner_costs_(smoc),13.10%,±1.2
"('$2,000 or more',)","San Diego city, California","110,791","±5,342",selected_monthly_owner_costs_(smoc),64.10%,±1.9
"('$2,000 or more',)","San Francisco city, California","67,220","±3,612",selected_monthly_owner_costs_(smoc),79.20%,±2.0
"('$2,000 or more',)","San Jose city, California","101,003","±3,394",selected_monthly_owner_costs_(smoc),76.20%,±1.5
"('$2,000 or more',)","Santa Ana city, California","10,847","±1,403",selected_monthly_owner_costs_(smoc),42.30%,±4.5
"('$2,000 or more',)","Seattle city, Washington","60,895","±2,946",selected_monthly_owner_costs_(smoc),61.20%,±2.3
"('$2,000 or more',)","St. Paul city, Minnesota","8,795","±1,152",selected_monthly_owner_costs_(smoc),20.40%,±2.5
"('$2,000 or more',)","Stockton city, California","11,824","±1,549",selected_monthly_owner_costs_(smoc),30.80%,±3.8
"('$2,000 or more',)","Tampa city, Florida","17,120","±2,116",selected_monthly_owner_costs_(smoc),35.80%,±3.5
"('$2,000 or more',)","Tucson city, Arizona","6,951","±1,271",selected_monthly_owner_costs_(smoc),9.30%,±1.6
"('$2,000 or more',)","Tulsa city, Oklahoma","8,031","±1,310",selected_monthly_owner_costs_(smoc),14.40%,±2.2
"('$2,000 or more',)","Virginia Beach city, Virginia","33,630","±2,508",selected_monthly_owner_costs_(smoc),38.80%,±2.5
"('$2,000 or more',)","Washington city, District of Columbia","48,475","±2,985",selected_monthly_owner_costs_(smoc),58.60%,±2.6
"('$2,000 or more',)","Wichita city, Kansas","5,739",±928,selected_monthly_owner_costs_(smoc),8.90%,±1.4
"('Median (dollars)',)","Albuquerque city, New Mexico","1,327",±30,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Anaheim city, California","2,328",±72,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Anchorage municipality, Alaska","1,958",±57,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Arlington city, Texas","1,385",±27,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Atlanta city, Georgia","1,880",±68,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Aurora city, Colorado","1,435",±36,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Austin city, Texas","1,672",±39,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Bakersfield city, California","1,674",±67,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Baltimore city, Maryland","1,393",±46,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Boston city, Massachusetts","2,248",±71,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Chicago city, Illinois","1,890",±22,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Cincinnati city, Ohio","1,371",±49,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Cleveland city, Ohio","1,032",±27,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Colorado Springs city, Colorado","1,449",±31,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Columbus city, Ohio","1,260",±28,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Corpus Christi city, Texas","1,367",±46,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Dallas city, Texas","1,445",±35,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Denver city, Colorado","1,570",±35,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Detroit city, Michigan","1,088",±27,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","El Paso city, Texas","1,117",±33,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Fresno city, California","1,501",±67,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Greensboro city, North Carolina","1,229",±36,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Henderson city, Nevada","1,848",±62,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Houston city, Texas","1,423",±25,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Indianapolis city (balance), Indiana","1,113",±17,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Irvine city, California","2,922",±137,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Jacksonville city, Florida","1,384",±32,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Jersey City city, New Jersey","2,487",±145,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Las Vegas city, Nevada","1,631",±40,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Lincoln city, Nebraska","1,273",±44,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Long Beach city, California","2,324",±74,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Los Angeles city, California","2,501",±40,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Memphis city, Tennessee","1,189",±22,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Mesa city, Arizona","1,421",±41,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Miami city, Florida","1,860",±110,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Milwaukee city, Wisconsin","1,314",±31,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Minneapolis city, Minnesota","1,632",±49,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","New Orleans city, Louisiana","1,470",±73,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","New York city, New York","2,461",±25,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Newark city, New Jersey","2,182",±105,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Oakland city, California","2,471",±103,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Omaha city, Nebraska","1,267",±29,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Orlando city, Florida","1,602",±115,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Philadelphia city, Pennsylvania","1,197",±22,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Phoenix city, Arizona","1,457",±26,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Pittsburgh city, Pennsylvania","1,061",±44,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Plano city, Texas","1,919",±54,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Portland city, Oregon","1,710",±38,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Riverside city, California","1,828",±82,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Sacramento city, California","1,822",±85,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","San Antonio city, Texas","1,211",±22,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","San Diego city, California","2,387",±44,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","San Francisco city, California","3,180",±95,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","San Jose city, California","2,797",±51,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Santa Ana city, California","1,802",±109,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Seattle city, Washington","2,245",±48,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","St. Paul city, Minnesota","1,508",±45,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Stockton city, California","1,676",±55,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Tampa city, Florida","1,573",±82,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Tucson city, Arizona","1,219",±30,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Tulsa city, Oklahoma","1,174",±27,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Virginia Beach city, Virginia","1,813",±39,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Washington city, District of Columbia","2,297",±82,selected_monthly_owner_costs_(smoc),(X),(X)
"('Median (dollars)',)","Wichita city, Kansas","1,143",±34,selected_monthly_owner_costs_(smoc),(X),(X)
"('Housing units without a mortgage',)","Albuquerque city, New Mexico","36,743","±2,662",selected_monthly_owner_costs_(smoc),"36,743",(X)
"('Housing units without a mortgage',)","Anaheim city, California","11,521","±1,424",selected_monthly_owner_costs_(smoc),"11,521",(X)
"('Housing units without a mortgage',)","Anchorage municipality, Alaska","13,345","±1,593",selected_monthly_owner_costs_(smoc),"13,345",(X)
"('Housing units without a mortgage',)","Arlington city, Texas","20,002","±1,955",selected_monthly_owner_costs_(smoc),"20,002",(X)
"('Housing units without a mortgage',)","Atlanta city, Georgia","20,461","±2,244",selected_monthly_owner_costs_(smoc),"20,461",(X)
"('Housing units without a mortgage',)","Aurora city, Colorado","12,275","±1,445",selected_monthly_owner_costs_(smoc),"12,275",(X)
"('Housing units without a mortgage',)","Austin city, Texas","39,970","±3,071",selected_monthly_owner_costs_(smoc),"39,970",(X)
"('Housing units without a mortgage',)","Bakersfield city, California","13,411","±1,626",selected_monthly_owner_costs_(smoc),"13,411",(X)
"('Housing units without a mortgage',)","Baltimore city, Maryland","32,353","±2,151",selected_monthly_owner_costs_(smoc),"32,353",(X)
"('Housing units without a mortgage',)","Boston city, Massachusetts","20,311","±1,872",selected_monthly_owner_costs_(smoc),"20,311",(X)
"('Housing units without a mortgage',)","Chicago city, Illinois","119,924","±4,826",selected_monthly_owner_costs_(smoc),"119,924",(X)
"('Housing units without a mortgage',)","Cincinnati city, Ohio","12,614","±1,190",selected_monthly_owner_costs_(smoc),"12,614",(X)
"('Housing units without a mortgage',)","Cleveland city, Ohio","25,451","±2,381",selected_monthly_owner_costs_(smoc),"25,451",(X)
"('Housing units without a mortgage',)","Colorado Springs city, Colorado","22,977","±1,942",selected_monthly_owner_costs_(smoc),"22,977",(X)
"('Housing units without a mortgage',)","Columbus city, Ohio","31,459","±2,310",selected_monthly_owner_costs_(smoc),"31,459",(X)
"('Housing units without a mortgage',)","Corpus Christi city, Texas","27,075","±2,156",selected_monthly_owner_costs_(smoc),"27,075",(X)
"('Housing units without a mortgage',)","Dallas city, Texas","65,752","±3,561",selected_monthly_owner_costs_(smoc),"65,752",(X)
"('Housing units without a mortgage',)","Denver city, Colorado","32,729","±2,073",selected_monthly_owner_costs_(smoc),"32,729",(X)
"('Housing units without a mortgage',)","Detroit city, Michigan","60,592","±3,203",selected_monthly_owner_costs_(smoc),"60,592",(X)
"('Housing units without a mortgage',)","El Paso city, Texas","47,821","±3,057",selected_monthly_owner_costs_(smoc),"47,821",(X)
"('Housing units without a mortgage',)","Fresno city, California","17,956","±1,915",selected_monthly_owner_costs_(smoc),"17,956",(X)
"('Housing units without a mortgage',)","Greensboro city, North Carolina","15,595","±1,807",selected_monthly_owner_costs_(smoc),"15,595",(X)
"('Housing units without a mortgage',)","Henderson city, Nevada","12,624","±1,784",selected_monthly_owner_costs_(smoc),"12,624",(X)
"('Housing units without a mortgage',)","Houston city, Texas","139,619","±4,999",selected_monthly_owner_costs_(smoc),"139,619",(X)
"('Housing units without a mortgage',)","Indianapolis city (balance), Indiana","42,522","±2,678",selected_monthly_owner_costs_(smoc),"42,522",(X)
"('Housing units without a mortgage',)","Irvine city, California","6,386","±1,179",selected_monthly_owner_costs_(smoc),"6,386",(X)
"('Housing units without a mortgage',)","Jacksonville city, Florida","53,419","±3,280",selected_monthly_owner_costs_(smoc),"53,419",(X)
"('Housing units without a mortgage',)","Jersey City city, New Jersey",N,N,selected_monthly_owner_costs_(smoc),N,(X)
"('Housing units without a mortgage',)","Las Vegas city, Nevada","24,030","±1,828",selected_monthly_owner_costs_(smoc),"24,030",(X)
"('Housing units without a mortgage',)","Lincoln city, Nebraska","16,719","±1,569",selected_monthly_owner_costs_(smoc),"16,719",(X)
"('Housing units without a mortgage',)","Long Beach city, California","14,135","±1,835",selected_monthly_owner_costs_(smoc),"14,135",(X)
"('Housing units without a mortgage',)","Los Angeles city, California","111,378","±4,601",selected_monthly_owner_costs_(smoc),"111,378",(X)
"('Housing units without a mortgage',)","Memphis city, Tennessee","34,780","±2,714",selected_monthly_owner_costs_(smoc),"34,780",(X)
